metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2019,Anchorage Municipality,AK,us-ak-020,0.5
Metropolitan,2019,Fairbanks North Star Borough,AK,us-ak-090,0
Metropolitan,2019,Matanuska-Susitna Borough,AK,us-ak-170,0.5
Metropolitan,2019,Autauga ,AL,us-al-001,0
Metropolitan,2019,Baldwin ,AL,us-al-003,0.5
Metropolitan,2019,Bibb ,AL,us-al-007,0
Metropolitan,2019,Blount ,AL,us-al-009,0
Metropolitan,2019,Calhoun ,AL,us-al-015,0.5
Metropolitan,2019,Chilton ,AL,us-al-021,0
Metropolitan,2019,Colbert ,AL,us-al-033,0.5
Metropolitan,2019,Elmore ,AL,us-al-051,0.5
Metropolitan,2019,Etowah ,AL,us-al-055,0.5
Metropolitan,2019,Geneva ,AL,us-al-061,0
Metropolitan,2019,Greene ,AL,us-al-063,0
Metropolitan,2019,Hale ,AL,us-al-065,0
Metropolitan,2019,Henry ,AL,us-al-067,0
Metropolitan,2019,Houston ,AL,us-al-069,0
Metropolitan,2019,Jefferson ,AL,us-al-073,0.5
Metropolitan,2019,Lauderdale ,AL,us-al-077,0.5
Metropolitan,2019,Lawrence ,AL,us-al-079,0
Metropolitan,2019,Lee ,AL,us-al-081,0
Metropolitan,2019,Limestone ,AL,us-al-083,0.5
Metropolitan,2019,Lowndes ,AL,us-al-085,0.5
Metropolitan,2019,Madison ,AL,us-al-089,0.5
Metropolitan,2019,Mobile ,AL,us-al-097,0.5
Metropolitan,2019,Montgomery ,AL,us-al-101,0.5
Metropolitan,2019,Morgan ,AL,us-al-103,0
Metropolitan,2019,Pickens ,AL,us-al-107,0
Metropolitan,2019,Russell ,AL,us-al-113,0.5
Metropolitan,2019,Shelby ,AL,us-al-117,0
Metropolitan,2019,St. Clair ,AL,us-al-115,0
Metropolitan,2019,Tuscaloosa ,AL,us-al-125,0.5
Metropolitan,2019,Washington ,AL,us-al-129,0
Metropolitan,2019,Benton ,AR,us-ar-007,0.5
Metropolitan,2019,Cleveland ,AR,us-ar-025,0
Metropolitan,2019,Craighead ,AR,us-ar-031,0.5
Metropolitan,2019,Crawford ,AR,us-ar-033,0.5
Metropolitan,2019,Crittenden ,AR,us-ar-035,0.5
Metropolitan,2019,Faulkner ,AR,us-ar-045,0.5
Metropolitan,2019,Franklin ,AR,us-ar-047,0.5
Metropolitan,2019,Garland ,AR,us-ar-051,1
Metropolitan,2019,Grant ,AR,us-ar-053,0
Metropolitan,2019,Jefferson ,AR,us-ar-069,0.5
Metropolitan,2019,Lincoln ,AR,us-ar-079,0.5
Metropolitan,2019,Little River ,AR,us-ar-081,0
Metropolitan,2019,Lonoke ,AR,us-ar-085,0.5
Metropolitan,2019,Madison ,AR,us-ar-087,0
Metropolitan,2019,Miller ,AR,us-ar-091,1
Metropolitan,2019,Perry ,AR,us-ar-105,0.5
Metropolitan,2019,Poinsett ,AR,us-ar-111,0.5
Metropolitan,2019,Pulaski ,AR,us-ar-119,0.5
