,county,state,cases,deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
0,Autauga,Alabama,1.672631787198072,0.07194115213755148,55601.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975701875865,1.4,0.8,0.9,3.1,0.5190398847143036,0.10945460712936818,0.020663393122425856,1.1994997413715582,0.15425939022679447,0.09513344357115879,1.297497417672344,0.10791172820632722,0.00568765,5.0,11.0,9.0,13.0,7.0,53.0,18.0,33.0,15.0,91.8,37.2,0.07785299999999999,27.8
1,Baldwin,Alabama,1.0595261028703524,0.03210685160213189,218022.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975704286723,1.4,0.8,0.9,3.1,0.5190398845070681,0.10945460714973719,0.020663393120877713,1.1994997413105097,0.15425939024502114,0.09513344359743511,1.2974974176917924,0.23392134738696094,0.022302348,3.0,2.0,5.0,6.0,3.0,5.0,17.0,31.0,18.0,114.6,65.5,0.07785299999999999,27.8
2,Barbour,Alabama,2.7732004340661547,0.04019131063863993,24881.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975700333587,1.4,0.8,0.9,3.1,0.5190398846509384,0.1094546071299385,0.02066339311120936,1.1994997411679595,0.154259390217435,0.09513344359149552,1.2974974177082916,0.20095655319319963,0.002545178,23.0,55.0,54.0,41.0,60.0,28.0,22.0,42.0,13.0,31.0,13.4,0.07785299999999999,27.8
3,Bibb,Alabama,2.0535714285714284,0.044642857142857144,22400.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975700892856,1.4,0.8,0.9,3.1,0.5190398848214285,0.10945460714285715,0.020663393125,1.1994997415178572,0.1542593902232143,0.09513344357142856,1.2974974174107143,0.0,0.002291386,49.0,14.0,32.0,18.0,43.0,22.0,19.0,38.0,16.0,36.8,14.4,0.07785299999999999,27.8
4,Blount,Alabama,0.7780082987551867,0.0,57840.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975708852005,1.4,0.8,0.9,3.1,0.519039884681881,0.1094546071230982,0.02066339311894882,1.1994997413554633,0.1542593902316736,0.0951334435857538,1.2974974175311202,0.1037344398340249,0.005916686,42.0,13.0,15.0,45.0,16.0,49.0,19.0,34.0,14.0,88.9,37.0,0.07785299999999999,27.8
5,Bullock,Alabama,2.7618859735648056,0.09863878477017163,10138.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497570526731,1.4,0.8,0.9,3.1,0.5190398846912606,0.10945460712172025,0.020663393075557306,1.199499741566384,0.15425939021503257,0.09513344357861511,1.2974974176366147,0.0,0.0010370569999999999,45.0,63.0,63.0,58.0,66.0,19.0,23.0,37.0,12.0,17.5,7.2,0.07785299999999999,27.8
6,Butler,Alabama,11.6869918699187,0.3048780487804878,19680.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975701219514,1.4,0.8,0.9,3.1,0.5190398846544715,0.10945460711382113,0.020663393140243905,1.1994997413617887,0.15425939024390242,0.09513344359756097,1.2974974176829268,0.3556910569105691,0.002013146,64.0,56.0,57.0,56.0,55.0,45.0,22.0,43.0,12.0,27.0,12.8,0.07785299999999999,27.8
7,Calhoun,Alabama,1.1113347392738697,0.026252001715130778,114277.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.171497569939708,1.4,0.8,0.9,3.1,0.5190398846662059,0.10945460713879433,0.02066339312372568,1.19949974098025,0.15425939025350682,0.09513344356257164,1.297497417678098,0.21001601372104622,0.011689854,51.0,28.0,39.0,40.0,33.0,37.0,21.0,39.0,14.0,195.7,88.0,0.07785299999999999,27.8
8,Chambers,Alabama,9.63855421686747,0.6544697307749516,33615.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975701323813,1.4,0.8,0.9,3.1,0.5190398845753385,0.10945460713966979,0.020663393128067826,1.1994997411869701,0.15425939024245128,0.09513344358173435,1.2974974175219396,0.0,0.0034386140000000004,38.0,47.0,37.0,35.0,36.0,40.0,19.0,40.0,13.0,57.4,28.5,0.07785299999999999,27.8
9,Cherokee,Alabama,0.9219422249539029,0.0,26032.0,9775742.0,217.1,196.7,77.2,71.2,7.6,6.9,28.5,18.1,34.4,49.1,22.8,136.8,82.1,29.9,11.9,21.9,0.6,18.4,48.4,2.1714975702980945,1.4,0.8,0.9,3.1,0.519039884757222,0.10945460713736939,0.020663393131530424,1.1994997414720345,0.15425939025046098,0.09513344356945297,1.297497417409342,0.0,0.002662918,56.0,10.0,7.0,33.0,18.0,27.0,17.0,35.0,14.0,46.9,29.4,0.07785299999999999,27.8
