fips,Length of Life rank,Quality of Life rank,Health Behaviors rank,Clinical Care rank,Social & Economic Factors rank,Physical Environment rank
1001,5,11,9,13,7,53
1003,3,2,5,6,3,5
1005,23,55,54,41,60,28
1007,49,14,32,18,43,22
1009,42,13,15,45,16,49
1011,45,63,63,58,66,19
1013,64,56,57,56,55,45
1015,51,28,39,40,33,37
1017,38,47,37,35,36,40
1019,56,10,7,33,18,27
1021,19,16,33,52,30,31
1023,57,43,44,23,52,23
1025,39,51,43,43,59,11
1027,26,34,41,48,40,62
1029,35,9,19,63,21,8
1031,6,3,10,17,5,10
1033,30,17,14,9,17,35
1035,32,62,56,61,57,25
1037,60,53,48,39,50,61
1039,43,32,24,51,26,7
1041,18,29,45,59,44,1
1043,22,15,22,21,10,43
1045,28,21,42,12,24,14
1047,65,65,65,24,63,54
1049,31,37,23,65,31,17
1051,8,4,12,15,12,52
1053,54,44,55,62,53,21
1055,47,20,34,46,27,18
1057,14,35,29,11,46,59
1059,21,46,20,66,32,4
1061,40,27,49,54,42,3
1063,44,66,59,55,64,20
1065,55,57,51,53,54,56
1067,11,19,18,22,14,16
1069,13,26,27,5,19,24
1071,36,33,28,30,38,15
1073,34,23,11,1,23,65
1075,48,38,30,31,15,9
1077,10,18,2,8,6,30
1079,46,25,26,60,39,36
1081,2,6,3,10,8,67
1083,4,12,6,16,4,50
1085,67,61,64,37,65,60
1087,59,59,62,38,61,66
1089,7,8,4,3,2,39
1091,53,54,50,19,51,48
1093,37,30,21,57,25,44
1095,20,24,40,50,20,42
1097,27,39,35,25,48,64
1099,58,58,60,42,58,26
1101,16,45,47,7,41,51
1103,12,7,8,14,9,57
1105,63,67,67,49,56,29
1107,15,52,31,32,28,6
1109,24,42,46,29,47,12
1111,25,22,36,47,35,33
1113,41,41,52,28,37,63
1115,17,5,13,36,13,55
1117,1,1,1,2,1,47
1119,62,64,61,27,62,46
1121,50,40,58,34,34,32
1123,29,50,16,20,45,58
1125,9,31,17,4,11,38
1127,66,49,53,26,29,34
1129,52,48,38,64,49,2
1131,61,60,66,44,67,13
1133,33,36,25,67,22,41
2013,NR,NR,NR,NR,NR,NR
2016,12,19,16,18,3,12
2020,8,15,4,2,6,24
2050,21,23,23,19,23,22
2060,NR,NR,NR,NR,NR,NR
2068,12,8,7,7,11,7
2070,20,22,20,13,20,5
2090,4,7,6,3,5,11
2100,12,9,1,1,13,8
2105,12,16,12,21,18,1
2110,7,3,5,4,1,6
2122,10,6,8,12,10,23
2130,9,14,13,6,7,18
2150,1,2,9,11,4,19
2158,25,25,24,16,25,21
2164,12,20,19,24,19,10
2170,3,11,10,8,9,25
2180,22,21,25,25,21,17
