fips,Adult smoking percentage,Adult obesity percentage,Excessive drinking percentage
1001,18,33,15
1003,17,31,18
1005,22,42,13
1007,19,38,16
1009,19,34,14
1011,23,37,12
1013,22,43,12
1015,21,39,14
1017,19,40,13
1019,17,35,14
1021,20,38,15
1023,19,41,12
1025,21,34,12
1027,20,41,13
1029,18,37,14
1031,17,34,15
1033,19,31,15
1035,21,43,12
1037,20,40,13
1039,19,32,14
1041,19,38,15
1043,18,37,15
1045,20,37,15
1047,24,43,11
1049,21,29,12
1051,17,34,16
1053,22,39,13
1055,20,36,14
1057,18,41,14
1059,19,34,13
1061,20,39,14
1063,25,36,10
1065,22,40,11
1067,18,36,14
1069,19,38,14
1071,20,39,13
1073,18,35,15
1075,20,36,13
1077,17,33,14
1079,20,33,14
1081,18,30,16
1083,18,34,15
1085,23,47,10
1087,21,50,11
1089,17,33,16
1091,21,42,12
1093,19,37,14
1095,21,34,14
1097,19,36,15
1099,23,42,11
1101,20,38,14
1103,19,32,14
1105,26,43,10
1107,21,35,12
1109,21,36,15
1111,19,37,14
1113,22,45,13
1115,18,37,15
1117,16,35,17
1119,22,43,11
1121,23,39,14
1123,18,36,13
1125,18,35,16
1127,23,40,14
1129,21,33,14
1131,22,48,11
1133,20,38,14
2013,17,51,17
2016,15,44,19
2020,15,32,21
2050,30,31,22
2060,18,42,21
2068,18,25,23
2070,27,36,22
2090,16,30,23
2100,16,27,21
2105,20,32,18
2110,17,27,24
2122,17,33,21
2130,17,38,20
2150,15,34,22
2158,41,23,17
2164,28,38,21
2170,18,34,21
2180,32,40,22
2185,24,40,22
2188,31,42,21
2195,15,25,21
2198,22,45,20
2220,16,27,21
2230,16,33,23
2240,20,33,20
2261,17,35,25
2275,17,43,18
2282,20,32,20
2290,30,31,22
4001,22,34,13
4003,15,30,15
4005,16,24,17
4007,18,31,16
4009,18,35,17
4011,14,29,18
4012,16,30,13
4013,14,27,18
4015,19,32,16
4017,21,34,14
4019,15,25,17
4021,16,33,16
4023,15,27,14
4025,17,23,17
4027,13,37,18
5001,20,31,14
5003,20,43,13
5005,16,34,13
5007,17,29,18
5009,20,34,14
5011,22,46,13
5013,21,29,13
5015,18,28,13
5017,23,39,11
5019,19,27,15
5021,20,43,14
5023,17,37,14
5025,19,36,15
5027,20,36,14
5029,19,37,14
5031,21,38,15
5033,19,35,14
5035,23,41,13
