fips,Population per sq mile,House per sq mile
1001,91.8,37.2
1003,114.6,65.5
1005,31,13.4
1007,36.8,14.4
1009,88.9,37
1011,17.5,7.2
1013,27,12.8
1015,195.7,88
1017,57.4,28.5
1019,46.9,29.4
1021,63,27.8
1023,15.2,8
1025,20.9,10.2
1027,23.1,11.2
1029,26.7,12
1031,73.6,32.9
1033,91.8,43.5
1035,15.6,8.3
1037,17.7,10
1039,36.6,18.3
1041,22.8,11.1
1043,109.4,50.4
1045,89.6,40.4
1047,44.8,20.6
1049,91.5,40
1051,128.2,52.8
1053,40.5,17.4
1055,195.2,88.7
1057,27.5,13.4
1059,50,22.1
1061,46.6,22.1
1063,14,7.7
1065,24.5,11.9
1067,30.8,15.8
1069,175.1,78.2
1071,49.4,23
1073,592.5,270.5
1075,24.1,12.2
1077,138.8,65.6
1079,49.7,22
1081,230.8,102.7
1083,147.8,62.5
1085,15.8,7.2
1087,35.2,16.8
1089,417.7,182.7
1091,21.5,10.5
1093,41.5,19.9
1095,164.4,71.3
1097,335.9,144.9
1099,22.5,11
1101,292.5,129.6
1103,206.3,88.4
1105,14.7,6.6
1107,22.4,10.8
1109,48.9,22.7
1111,39.5,20.6
1113,82.6,38.4
1115,132.3,56.2
1117,248.5,103.2
1119,15.2,7.5
1121,111.7,50.3
1123,58.1,30.9
1125,147.3,64.2
1127,84.7,38.9
1129,16.3,7.8
1131,13.1,6.4
1133,39.9,22
2013,0.4,0.1
2016,1.3,0.4
2020,171.2,66.3
2050,0.4,0.1
2060,2,1.9
2068,0.1,0.1
2070,0.3,0.1
2090,13.3,5.7
2100,1.1,0.7
2105,0.3,0.2
2110,11.6,4.8
2122,3.4,1.9
2130,2.8,1.3
2150,2.1,0.8
2164,0.1,0.1
2170,3.6,1.7
2180,0.4,0.2
2185,0.1,0
2188,0.2,0.1
2195,1.2,0.6
2198,1.4,0.8
2220,3.1,1.4
2230,2.1,1.4
2240,0.3,0.2
2261,0.3,0.2
2270,0.4,0.1
2275,0.9,0.6
2282,0.1,0.1
2290,0,0
4001,6.4,2.9
4003,21.3,9.6
4005,7.2,3.4
4007,11.3,6.9
4009,8.1,2.8
4011,4.6,2.4
4012,4.6,3.6
4013,414.9,178.2
4015,15,8.3
4017,10.8,5.7
4019,106.7,48
4021,70,29.7
4023,38.3,14.6
4025,26,13.6
4027,35.5,15.9
5001,19.2,9.5
5003,23.6,11
5005,74.9,40.7
5007,261.2,109.9
5009,62.5,28.5
5011,17.7,9
5013,8.5,4.6
5015,43.6,21.5
5017,18.3,8.4
5019,26.6,12
5021,25.2,12.6
5023,46.9,28.6
5025,14.5,6.8
5027,32.1,15.1
5029,38.5,17.6
5031,136.4,57.3
5033,104.4,44
5035,83.5,35.2
5037,29,12.7
5039,12.2,6.5
5041,16.9,8.2
5043,22.3,10.2
5045,174.8,71.9
5047,29.8,13.2
5049,19.8,11
5051,141.7,74.6
5053,28.3,12.3
5055,72.9,31
5057,31.1,14.3
5059,53.5,23.3
5061,23.4,10.6
5063,48,21.2
5065,23.6,12.5
5067,28.4,12
5069,88.9,37.9
5071,38.7,17.1
5073,14.5,8.2
5075,29.6,13.6
5077,17.3,7.2
5079,25.2,8.7
5081,24.7,12.1
5083,31.6,14.3
5085,88.7,35.3
5087,18.8,9
5089,27.9,15.7
5091,69.5,30.8
5093,51.6,22.7
5095,13.4,7.3
5097,12.2,7.4
5099,14.6,7.4
5101,10.1,5.7
5103,35.6,17.9
5105,18.9,8.9
5107,31.3,14.6
5109,18.8,9.3
5111,32.4,14.4
5113,24.1,11.7
5115,76,31.4
5117,13.4,6.9
5119,503.8,231.1
5121,27.6,13.1
5123,44.5,17.2
5125,148,61.9
5127,12.6,5.8
5129,12.3,7.4
5131,236.4,102.7
5133,30.2,12.2
5135,28.6,16.2
5137,20.4,11.1
5139,40.1,18.9
5141,24.4,14.6
5143,215.6,93.2
5145,74.5,31.4
5147,12.4,6.6
5149,23.9,10.5
6001,2043.6,788.3
6003,1.6,2.4
6005,64.1,30.3
6007,134.4,58.6
6009,44.7,27.4
6011,18.6,6.9
6013,1465.2,559.1
6015,28.4,11.1
6017,106,51.6
6019,156.2,53
6021,21.4,8.2
6023,37.7,17.3
6025,41.8,13.4
6027,1.8,0.9
6029,103.3,35
6031,110.1,31.6
6033,51.5,28.2
6035,7.7,2.8
6037,2419.6,849
6039,70.6,23
6041,485.1,213.7
6043,12.6,7
6045,25.1,11.5
6047,132.2,43.3
6049,2.5,1.3
6051,4.7,4.6
6053,126.5,42.4
6055,182.4,73.2
6057,103.1,54.9
6059,3807.7,1326.8
6061,247.6,108.5
6063,7.8,6.1
6065,303.8,111.1
6067,1470.8,576.3
6069,39.8,12.9
6071,101.5,34.9
6073,735.8,276.9
6075,17179.2,8041.8
6077,492.6,168
6079,81.7,35.6
6081,1602.2,604.4
6083,155,55.9
6085,1381,489.8
6087,589.4,234.7
6089,46.9,20.5
6091,3.4,2.4
6093,7.2,3.8
6095,503,185.8
6097,307.1,129.8
6099,344.2,120.1
6101,157.3,56.2
6103,21.5,9.1
6105,4.3,2.7
6107,91.7,29.4
6109,24.9,14.1
6111,446.7,152.8
6113,197.9,74
6115,114.2,43.7
8001,378.2,139.7
8003,21.4,9.1
8005,716.7,298.6
8007,8.9,6.5
8009,1.5,0.9
8011,4.3,1.5
8013,405.6,175
8014,1691.9,685.5
8015,17.6,9.9
8017,1,0.5
8019,23,14.4
8021,6.4,3.3
8023,2.9,2.1
8025,7.4,2
8027,5.8,5.4
8029,27.1,12.8
8031,3922.6,1868
8033,1.9,1.4
8035,339.7,127.2
8037,31,18.6
8039,12.5,4.8
8041,292.6,118.9
8043,30.5,12.6
8045,19.1,7.9
8047,36.3,23.7
8049,8,8.7
8051,4.7,3.5
8053,0.8,1.2
8055,4.2,3.2
8057,0.9,0.8
8059,699.5,300.9
8061,0.8,0.5
8063,3.8,1.6
8065,19.4,11.3
8067,30.3,15.3
8069,115.4,51.1
8071,3.2,1.7
8073,2.1,0.9
8075,12.4,4.9
8077,44.1,18.8
8079,0.8,1.4
8081,2.9,1.3
8083,12.6,6
8085,18.4,8.1
8087,22,9
8089,14.9,7.1
8091,8.2,5.7
8093,7.4,6.4
8095,6.5,3
8097,17.7,13.3
8099,7.7,3.6
8101,66.7,29.1
8103,2.1,1
8105,13.1,7.3
8107,10,6.9
8109,1.9,1.2
8111,1.8,2
8113,5.7,5.2
8115,4.3,2.6
8117,46,49.1
8119,41.9,22.7
8121,1.9,1
8123,63.4,24.1
8125,4.2,1.9
9001,1467.2,578.1
9003,1216.2,509.1
9005,206.3,95.1
9007,448.6,202.6
9009,1426.7,598.8
9011,412.2,182
9013,372.2,141.3
9015,230.9,95.7
10001,276.9,111.5
10003,1263.2,510.2
10005,210.6,131.4
11001,9856.5,4860.4
12001,282.7,128.9
12003,46.3,16.6
12005,222.6,131.4
12007,97,37.5
12009,535,265.7
12011,1444.9,669.9
12013,25.8,10.6
12015,235.2,147.9
12017,242.8,134.1
12019,315.8,124.9
12021,160.9,98.7
12023,84.7,35.9
12027,54.7,22.9
12029,23.3,13.2
12031,1133.9,509.7
12033,453.4,208.2
12035,197.1,100.1
12037,21.6,16.2
12039,89.8,37.8
