,date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths,POP_ESTIMATE_2018,total_state_pop,Active.Physicians.per.100.000.Population..2018..AAMC.,Total.Active.Patient.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.Patient.Care.Primary.Care.Physicians.per.100.000.Population..2018..AAMC.,Active.General.Surgeons.per.100.000.Population..2018..AAMC.,Active.Patient.Care.General.Surgeons.per.100.000.Population..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Female..2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.International.Medical.Graduates..IMGs...2018..AAMC.,Percentage.of.Active.Physicians.Who.Are.Age.60.or.Older..2018..AAMC.,MD.and.DO.Student.Enrollment.per.100.000.Population..AY.2018.2019..AAMC.,Student.Enrollment.at.Public.MD.and.DO.Schools.per.100.000.Population..AY.2018.2019..AAMC.,Percentage.Change.in.Student.Enrollment.at.MD.and.DO.Schools..2008.2018..AAMC.,Percentage.of.MD.Students.Matriculating.In.State..AY.2018.2019..AAMC.,Total.Residents.Fellows.in.ACGME.Programs.per.100.000.Population.as.of.December.31..2018..AAMC.,Total.Residents.Fellows.in.Primary.Care.ACGME.Programs.per.100.000.Population.as.of.Dec..31..2018..AAMC.,Percentage.of.Residents.in.ACGME.Programs.Who.Are.IMGs.as.of.December.31..2018..AAMC.,Ratio.of.Residents.and.Fellows..GME..to.Medical.Students..UME...AY.2017.2018..AAMC.,Percent.Change.in.Residents.and.Fellows.in.ACGME.Accredited.Programs..2008.2018..AAMC.,Percentage.of.Physicians.Retained.in.State.from.Undergraduate.Medical.Education..UME...2018..AAMC.,All.Specialties..AAMC.,State.Local.Government.hospital.beds.per.1000.people..2019.,Non.profit.hospital.beds.per.1000.people..2019.,For.profit.hospital.beds.per.1000.people..2019.,Total.hospital.beds.per.1000.people..2019.,Total.nurse.practitioners..2019.,Total.physician.assistants..2019.,Total.Hospitals..2019.,Total.Primary.Care.Physicians..2019.,Surgery.specialists..2019.,Emergency.Medicine.specialists..2019.,Total.Specialist.Physicians..2019.,ICU.Beds,pop_fraction,Length.of.Life.rank,Quality.of.Life.rank,Health.Behaviors.rank,Clinical.Care.rank,Social...Economic.Factors.rank,Physical.Environment.rank,Adult.smoking.percentage,Adult.obesity.percentage,Excessive.drinking.percentage,Population.per.sq.mile,House.per.sq.mile,Total.Number.of.COVID.19.Tests.with.Results,Share.of.Tests.with.Positive.COVID.19.Results,Number.of.Tests.with.Results.per.1.000.Population
1,5/14/2020,Autauga,Alabama,1001,93,4,93,4,NA,NA,55601,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,120.7374364,1.4,0.8,0.9,3.1,28.85913663,6.085785611,1.148905321,66.69338512,8.576976356,5.289514596,72.14215392,6,0.00568765,5,11,9,13,7,53,18,33,15,91.8,37.2,136372,0.077853,27.8
2,5/14/2020,Baldwin,Alabama,1003,231,7,231,7,NA,NA,218022,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,473.4342433,1.4,0.8,0.9,3.1,113.1621137,23.86351236,4.505074295,261.5173326,33.63194078,20.74118364,282.882982,51,0.022302348,3,2,5,6,3,5,17,31,18,114.6,65.5,136372,0.077853,27.8
3,5/14/2020,Barbour,Alabama,1005,69,1,69,1,NA,NA,24881,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,54.02903104,1.4,0.8,0.9,3.1,12.91423137,2.72334008,0.514125884,29.84475306,3.838127888,2.36701521,32.28303325,5,0.002545178,23,55,54,41,60,28,22,42,13,31,13.4,136372,0.077853,27.8
4,5/14/2020,Bibb,Alabama,1007,46,1,46,1,NA,NA,22400,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,48.64154557,1.4,0.8,0.9,3.1,11.62649342,2.4517832,0.462860006,26.86879421,3.455410341,2.130989136,29.06394215,0,0.002291386,49,14,32,18,43,22,19,38,16,36.8,14.4,136372,0.077853,27.8
5,5/14/2020,Blount,Alabama,1009,45,0,45,0,NA,NA,57840,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,125.5994195,1.4,0.8,0.9,3.1,30.02126693,6.330854476,1.195170658,69.37906504,8.922363131,5.502518377,75.04725063,6,0.005916686,42,13,15,45,16,49,19,34,14,88.9,37,136372,0.077853,27.8
6,5/14/2020,Bullock,Alabama,1011,28,1,28,1,NA,NA,10138,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,22.01464237,1.4,0.8,0.9,3.1,5.262026351,1.109650807,0.209485479,12.16052838,1.563881698,0.964462851,13.15402882,0,0.001037057,45,63,63,58,66,19,23,37,12,17.5,7.2,136372,0.077853,27.8
7,5/14/2020,Butler,Alabama,1013,230,6,230,6,NA,NA,19680,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,42.73507218,1.4,0.8,0.9,3.1,10.21470493,2.154066668,0.406655577,23.60615491,3.0358248,1.87222617,25.53474918,7,0.002013146,64,56,57,56,55,45,22,43,12,27,12.8,136372,0.077853,27.8
8,5/14/2020,Calhoun,Alabama,1015,127,3,127,3,NA,NA,114277,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,248.1522278,1.4,0.8,0.9,3.1,59.3143209,12.50814414,2.361350576,137.0752319,17.62830034,10.87156453,148.2741124,24,0.011689854,51,28,39,40,33,37,21,39,14,195.7,88,136372,0.077853,27.8
9,5/14/2020,Chambers,Alabama,1017,324,22,324,22,NA,NA,33615,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,72.99489082,1.4,0.8,0.9,3.1,17.44752572,3.679316619,0.69459996,40.3211838,5.185429403,3.197910706,43.61537569,0,0.003438614,38,47,37,35,36,40,19,40,13,57.4,28.5,136372,0.077853,27.8
10,5/14/2020,Cherokee,Alabama,1019,24,0,24,0,NA,NA,26032,9775742,217.1,196.7,77.2,71.2,7.6,6.9,28.50%,18.10%,34.40%,49.1,22.8,136.80%,82.10%,29.9,11.9,21.90%,0.6,18.40%,48.40%,56.52842475,1.4,0.8,0.9,3.1,13.51164628,2.849322333,0.53790945,31.22537727,4.015680447,2.476513803,33.77645277,0,0.002662918,56,10,7,33,18,27,17,35,14,46.9,29.4,136372,0.077853,27.8
