date,county,state,fips,cases,deaths,confirmed_cases,confirmed_deaths,probable_cases,probable_deaths
5/14/2020,Autauga,Alabama,1001,93,4,93,4,,
5/14/2020,Baldwin,Alabama,1003,231,7,231,7,,
5/14/2020,Barbour,Alabama,1005,69,1,69,1,,
5/14/2020,Bibb,Alabama,1007,46,1,46,1,,
5/14/2020,Blount,Alabama,1009,45,0,45,0,,
5/14/2020,Bullock,Alabama,1011,28,1,28,1,,
5/14/2020,Butler,Alabama,1013,230,6,230,6,,
5/14/2020,Calhoun,Alabama,1015,127,3,127,3,,
5/14/2020,Chambers,Alabama,1017,324,22,324,22,,
5/14/2020,Cherokee,Alabama,1019,24,0,24,0,,
5/14/2020,Chilton,Alabama,1021,73,1,73,1,,
5/14/2020,Choctaw,Alabama,1023,72,2,72,2,,
5/14/2020,Clarke,Alabama,1025,65,1,65,1,,
5/14/2020,Clay,Alabama,1027,27,1,27,1,,
5/14/2020,Cleburne,Alabama,1029,13,1,13,1,,
5/14/2020,Coffee,Alabama,1031,158,1,158,1,,
5/14/2020,Colbert,Alabama,1033,74,2,74,2,,
5/14/2020,Conecuh,Alabama,1035,16,0,16,0,,
5/14/2020,Coosa,Alabama,1037,33,1,33,1,,
5/14/2020,Covington,Alabama,1039,56,1,56,1,,
5/14/2020,Crenshaw,Alabama,1041,48,1,48,1,,
5/14/2020,Cullman,Alabama,1043,67,0,67,0,,
5/14/2020,Dale,Alabama,1045,53,0,53,0,,
5/14/2020,Dallas,Alabama,1047,129,3,129,3,,
5/14/2020,DeKalb,Alabama,1049,179,2,179,2,,
5/14/2020,Elmore,Alabama,1051,157,5,157,5,,
5/14/2020,Escambia,Alabama,1053,38,3,38,3,,
5/14/2020,Etowah,Alabama,1055,197,10,197,10,,
5/14/2020,Fayette,Alabama,1057,9,0,9,0,,
5/14/2020,Franklin,Alabama,1059,270,3,270,3,,
5/14/2020,Geneva,Alabama,1061,17,0,17,0,,
5/14/2020,Greene,Alabama,1063,74,4,74,4,,
5/14/2020,Hale,Alabama,1065,74,2,74,2,,
5/14/2020,Henry,Alabama,1067,33,1,33,1,,
5/14/2020,Houston,Alabama,1069,115,4,115,4,,
5/14/2020,Jackson,Alabama,1071,60,2,60,2,,
5/14/2020,Jefferson,Alabama,1073,1199,64,1199,64,,
5/14/2020,Lamar,Alabama,1075,14,0,14,0,,
5/14/2020,Lauderdale,Alabama,1077,102,2,102,2,,
5/14/2020,Lawrence,Alabama,1079,26,0,26,0,,
5/14/2020,Lee,Alabama,1081,436,30,436,30,,
5/14/2020,Limestone,Alabama,1083,60,0,60,0,,
5/14/2020,Lowndes,Alabama,1085,111,8,111,8,,
5/14/2020,Macon,Alabama,1087,53,2,53,2,,
5/14/2020,Madison,Alabama,1089,259,4,259,4,,
5/14/2020,Marengo,Alabama,1091,91,5,91,5,,
5/14/2020,Marion,Alabama,1093,100,9,100,9,,
5/14/2020,Marshall,Alabama,1095,586,9,586,9,,
5/14/2020,Mobile,Alabama,1097,1545,96,1545,96,,
5/14/2020,Monroe,Alabama,1099,18,2,18,2,,
5/14/2020,Montgomery,Alabama,1101,705,19,705,19,,
5/14/2020,Morgan,Alabama,1103,99,1,99,1,,
5/14/2020,Perry,Alabama,1105,19,0,19,0,,
5/14/2020,Pickens,Alabama,1107,70,2,70,2,,
5/14/2020,Pike,Alabama,1109,102,0,102,0,,
5/14/2020,Randolph,Alabama,1111,117,7,117,7,,
5/14/2020,Russell,Alabama,1113,88,0,88,0,,
5/14/2020,Shelby,Alabama,1117,381,18,381,18,,
5/14/2020,St. Clair,Alabama,1115,87,1,87,1,,
5/14/2020,Sumter,Alabama,1119,110,4,110,4,,
5/14/2020,Talladega,Alabama,1121,76,2,76,2,,
5/14/2020,Tallapoosa,Alabama,1123,338,51,338,51,,
5/14/2020,Tuscaloosa,Alabama,1125,302,8,302,8,,
5/14/2020,Walker,Alabama,1127,111,0,111,0,,
5/14/2020,Washington,Alabama,1129,57,5,57,5,,
5/14/2020,Wilcox,Alabama,1131,89,5,89,5,,
5/14/2020,Winston,Alabama,1133,25,0,25,0,,
5/14/2020,Anchorage,Alaska,2020,196,4,196,4,,
5/14/2020,Bethel Census Area,Alaska,2050,1,0,1,0,,
5/14/2020,Fairbanks North Star Borough,Alaska,2090,85,2,85,2,,
5/14/2020,Juneau City and Borough,Alaska,2110,29,0,29,0,,
5/14/2020,Kenai Peninsula Borough,Alaska,2122,23,1,23,1,,
5/14/2020,Ketchikan Gateway Borough,Alaska,2130,16,0,16,0,,
5/14/2020,Kodiak Island Borough,Alaska,2150,1,0,1,0,,
5/14/2020,Matanuska-Susitna Borough,Alaska,2170,21,1,21,1,,
5/14/2020,Nome Census Area,Alaska,2180,1,0,1,0,,
5/14/2020,Petersburg Borough,Alaska,2195,3,0,3,0,,
5/14/2020,Prince of Wales-Hyder Census Area,Alaska,2198,2,0,2,0,,
5/14/2020,Sitka City and Borough,Alaska,2220,1,0,1,0,,
5/14/2020,Southeast Fairbanks Census Area,Alaska,2240,2,0,2,0,,
5/14/2020,Valdez-Cordova Census Area,Alaska,2261,1,0,1,,,
5/14/2020,Yukon-Koyukuk Census Area,Alaska,2290,1,0,1,0,,
5/14/2020,Apache,Arizona,4001,817,12,,,,
5/14/2020,Cochise,Arizona,4003,43,1,,,,
5/14/2020,Coconino,Arizona,4005,772,58,,,,
5/14/2020,Gila,Arizona,4007,19,1,,,,
5/14/2020,Graham,Arizona,4009,21,0,,,,
5/14/2020,Greenlee,Arizona,4011,2,0,,,,
5/14/2020,La Paz,Arizona,4012,25,2,,,,
5/14/2020,Maricopa,Arizona,4013,6341,281,,,,
5/14/2020,Mohave,Arizona,4015,213,26,,,,
5/14/2020,Navajo,Arizona,4017,1099,42,,,,
5/14/2020,Pima,Arizona,4019,1661,144,,,,
5/14/2020,Pinal,Arizona,4021,643,20,,,,
5/14/2020,Santa Cruz,Arizona,4023,50,0,,,,
5/14/2020,Yavapai,Arizona,4025,227,4,,,,
5/14/2020,Yuma,Arizona,4027,243,3,,,,
5/14/2020,Arkansas,Arkansas,5001,2,0,2,0,,
5/14/2020,Ashley,Arkansas,5003,18,0,18,0,,
5/14/2020,Baxter,Arkansas,5005,5,0,5,0,,
5/14/2020,Benton,Arkansas,5007,131,0,131,0,,
5/14/2020,Boone,Arkansas,5009,4,0,4,0,,
5/14/2020,Bradley,Arkansas,5011,12,1,12,1,,
5/14/2020,Carroll,Arkansas,5015,6,0,6,0,,
5/14/2020,Chicot,Arkansas,5017,10,0,10,0,,
5/14/2020,Clark,Arkansas,5019,35,0,35,0,,
5/14/2020,Clay,Arkansas,5021,3,0,3,0,,
5/14/2020,Cleburne,Arkansas,5023,72,4,72,4,,
5/14/2020,Cleveland,Arkansas,5025,15,0,15,0,,
5/14/2020,Columbia,Arkansas,5027,15,2,15,2,,
5/14/2020,Conway,Arkansas,5029,14,1,14,1,,
5/14/2020,Craighead,Arkansas,5031,113,0,113,0,,
5/14/2020,Crawford,Arkansas,5033,8,0,8,0,,
5/14/2020,Crittenden,Arkansas,5035,216,7,216,7,,
5/14/2020,Cross,Arkansas,5037,34,0,34,0,,
5/14/2020,Dallas,Arkansas,5039,1,0,1,0,,
5/14/2020,Desha,Arkansas,5041,17,0,17,0,,
5/14/2020,Drew,Arkansas,5043,19,1,19,1,,
5/14/2020,Faulkner,Arkansas,5045,83,3,83,3,,
5/14/2020,Franklin,Arkansas,5047,2,0,2,0,,
5/14/2020,Fulton,Arkansas,5049,3,0,3,0,,
5/14/2020,Garland,Arkansas,5051,121,1,121,1,,
5/14/2020,Grant,Arkansas,5053,16,0,16,0,,
5/14/2020,Greene,Arkansas,5055,24,0,24,0,,
5/14/2020,Hempstead,Arkansas,5057,7,1,7,1,,
5/14/2020,Hot Spring,Arkansas,5059,28,0,28,0,,
5/14/2020,Howard,Arkansas,5061,14,0,14,0,,
5/14/2020,Independence,Arkansas,5063,19,0,19,0,,
5/14/2020,Izard,Arkansas,5065,13,0,13,0,,
5/14/2020,Jackson,Arkansas,5067,1,0,1,0,,
5/14/2020,Jefferson,Arkansas,5069,280,19,280,19,,
5/14/2020,Johnson,Arkansas,5071,35,0,35,0,,
5/14/2020,Lafayette,Arkansas,5073,9,1,9,1,,
5/14/2020,Lawrence,Arkansas,5075,71,4,71,4,,
5/14/2020,Lee,Arkansas,5077,9,1,9,1,,
5/14/2020,Lincoln,Arkansas,5079,942,7,942,7,,
5/14/2020,Logan,Arkansas,5083,4,0,4,0,,
5/14/2020,Lonoke,Arkansas,5085,43,0,43,0,,
5/14/2020,Madison,Arkansas,5087,1,0,1,0,,
5/14/2020,Marion,Arkansas,5089,1,0,1,0,,
5/14/2020,Miller,Arkansas,5091,40,1,40,1,,
5/14/2020,Mississippi,Arkansas,5093,54,0,54,0,,
5/14/2020,Monroe,Arkansas,5095,5,0,5,0,,
5/14/2020,Montgomery,Arkansas,5097,1,0,1,0,,
5/14/2020,Nevada,Arkansas,5099,3,0,3,0,,
